name,country,tier,display,cost,rent,cost_source,rent_source,salary_h1b,fh,ubs_risk,prod_cost_delta%,prod_rent_delta%
哥本哈根,丹麦,A,keep,5182,2672,v4:US3200×geomean(wbPLI=0.87;digPLI=1.16)×prem1.1×Eurostat-PLI1.47,InsideAirbnb×13.6,,97,,59.7,46.6
赫尔辛基,芬兰,B,keep,4056,1541,v4:US3200×geomean(wbPLI=0.81;digPLI=0.98)×prem1.1×Eurostat-PLI1.29,cost×rentShare(0.38),,100,,36.7,-6.3
奥斯陆,挪威,A,keep,5094,1904,v4:US3200×geomean(wbPLI=0.85;digPLI=1.04)×prem1.1×Eurostat-PLI1.53,InsideAirbnb×13.6,,98,,52.2,0.7
休斯顿,美国,S,keep,3027,1610,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP0.95,Zillow-ZORI-2026-03-31,h1b(11prof,n=37),83,,-10.9,-26.5
费城,美国,S,keep,3389,1869,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.07,Zillow-ZORI-2026-03-31,h1b(7prof,n=18),83,,-11,-23.8
卡尔加里,加拿大,A,keep,2511,1146,v4:US3200×geomean(wbPLI=0.84;digPLI=0.73)×prem1×none1.00,StatCan-CMHC-2024,,97,,1,-28.6
珀斯,澳大利亚,C,warn,2474,940,v4:US3200×geomean(wbPLI=0.90;digPLI=0.67)×prem1×none1.00,cost×rentShare(0.38),,95,,-14.2,-29.3
麦德林,哥伦比亚,C,warn,1237,396,v4:US3200×geomean(wbPLI=0.35;digPLI=0.42)×prem1×none1.00,cost×rentShare(0.32),,70,,-12.2,-26.3
第比利斯,格鲁吉亚,D,drop,,,null,null,,,,,
拉各斯,尼日利亚,C,warn,520,114,v4:US3200×geomean(wbPLI=0.12;digPLI=0.22)×prem1×none1.00,cost×rentShare(0.22),,44,,-47.2,-56.7
莫斯科,俄罗斯,C,warn,1005,382,v4:US3200×geomean(wbPLI=0.31;digPLI=undefined)×prem1×none1.00,cost×rentShare(0.38),,13,,-49,-65.6
圣何塞(美国),美国,B,keep,3983,1514,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.25,cost×rentShare(0.38),,83,,-11,-47.5
渥太华,加拿大,A,keep,2762,1072,v4:US3200×geomean(wbPLI=0.84;digPLI=0.73)×prem1.1×none1.00,StatCan-CMHC-2024,,97,,21.9,1.9
卢森堡市,卢森堡,B,keep,4332,1646,v4:US3200×geomean(wbPLI=0.88;digPLI=undefined)×prem1×Eurostat-PLI1.53,cost×rentShare(0.38),,,,29.6,-12.8
