name,country,tier,display,cost_v8,cost_prod,cost_delta%,rent_v8,rent_prod,rent_delta%,cost_source,rent_source,salary_override,fh,ubs_risk,osm
日内瓦,瑞士,B,keep,7014,3770,86.0,2226,2170,2.6,v4:US3200×geomean(wbPLI=1.08;digPLI=1.34)×prem1×Eurostat-PLI1.82,InsideAirbnb×13.6,,96,elevated,
慕尼黑,德国,B,keep,3001,2641,13.6,1140,1436,-20.6,v4:US3200×geomean(wbPLI=0.76;digPLI=0.97)×prem1×Eurostat-PLI1.09,cost×rentShare(0.38),,93,moderate,
柏林,德国,B,keep,3301,2416,36.6,1915,1313,45.8,v4:US3200×geomean(wbPLI=0.76;digPLI=0.97)×prem1.1×Eurostat-PLI1.09,InsideAirbnb×13.6,,93,,89
巴塞罗那,西班牙,B,keep,2245,2375,-5.5,853,1270,-32.8,v4:US3200×geomean(wbPLI=0.61;digPLI=0.93)×prem1×Eurostat-PLI0.93,cost×rentShare(0.38),,90,,
马德里,西班牙,B,keep,2694,2375,13.4,2058,1270,62.0,v4:US3200×geomean(wbPLI=0.61;digPLI=0.93)×prem1.2×Eurostat-PLI0.93,InsideAirbnb×13.6,,90,moderate,90
米兰,意大利,B,keep,3000,2500,20.0,2074,1348,53.9,v4:US3200×geomean(wbPLI=0.65;digPLI=0.93)×prem1.2×Eurostat-PLI1.01,InsideAirbnb×13.6,,90,low,
罗马,意大利,A,keep,2750,2445,12.5,1687,1318,28.0,v4:US3200×geomean(wbPLI=0.65;digPLI=0.93)×prem1.1×Eurostat-PLI1.01,InsideAirbnb×10.2,,90,,71
布鲁塞尔,比利时,B,keep,3750,2816,33.2,1425,1547,-7.9,v4:US3200×geomean(wbPLI=0.77;digPLI=1.03)×prem1.1×Eurostat-PLI1.20,cost×rentShare(0.38),,96,,
维也纳,奥地利,A,keep,3547,2744,29.3,1564,1501,4.2,v4:US3200×geomean(wbPLI=0.79;digPLI=0.97)×prem1.1×Eurostat-PLI1.15,InsideAirbnb×13.6,,93,,
布拉格,捷克,A,keep,1724,2182,-21.0,1480,1151,28.6,v4:US3200×geomean(wbPLI=0.56;digPLI=0.63)×prem1.1×Eurostat-PLI0.83,InsideAirbnb×13.6,,94,,
华沙,波兰,C,warn,1262,1732,-27.1,480,881,-45.5,v4:US3200×geomean(wbPLI=0.49;digPLI=0.75)×prem1.1×Eurostat-PLI0.59,cost×rentShare(0.38),,80,,
里斯本,葡萄牙,B,keep,1916,2229,-14.0,728,1180,-38.3,v4:US3200×geomean(wbPLI=0.57;digPLI=0.72)×prem1.1×Eurostat-PLI0.85,cost×rentShare(0.38),,96,,
雅典,希腊,A,keep,1659,2215,-25.1,933,1171,-20.3,v4:US3200×geomean(wbPLI=0.56;digPLI=0.56)×prem1.1×Eurostat-PLI0.84,InsideAirbnb×10.2,,85,,
伊斯坦布尔,土耳其,B,keep,299,1235,-75.8,669,595,12.4,v4:US3200×geomean(wbPLI=0.35;digPLI=0.19)×prem1×Eurostat-PLI0.36,InsideAirbnb×10.2,,33,,68
墨西哥城,墨西哥,C,warn,2117,941,125.0,677,544,24.4,v4:US3200×geomean(wbPLI=0.54;digPLI=0.56)×prem1.2×none1.00,cost×rentShare(0.32),,60,,63
圣保罗,巴西,B,keep,1623,1831,-11.4,519,719,-27.8,v4:US3200×geomean(wbPLI=0.46;digPLI=0.39)×prem1.2×none1.00,cost×rentShare(0.32),,72,low,
里约热内卢,巴西,A,keep,1352,1583,-14.6,709,644,10.1,v4:US3200×geomean(wbPLI=0.46;digPLI=0.39)×prem1×none1.00,InsideAirbnb×10.2,,72,,
迈阿密,美国,S,keep,3573,4013,-11.0,2665,2585,3.1,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.13,Zillow-ZORI-2026-03-31,129840→115000(-11.4%),83,high,
华盛顿,美国,S,keep,3857,3938,-2.1,2347,2537,-7.5,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1.1×BEA-RPP1.10,Zillow-ZORI-2026-03-31,150880→127000(-15.8%),83,,
